book_id,original_title,authors,genre,original_publication_year,image_url
16,Män som hatar kvinnor,Stieg Larsson,fiction|mystery|thriller|crime|suspense|contemporary|ebooks,2005.0,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,Catching Fire,Suzanne Collins,fantasy|romance|ebooks|thriller|suspense|fiction|contemporary,2009.0,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,fantasy|fiction|classics|paranormal|mystery|contemporary,1999.0,https://images.gr-assets.com/books/1499277281m/5.jpg
19, The Fellowship of the Ring,J.R.R. Tolkien,fantasy|classics|fiction|ebooks,1954.0,https://images.gr-assets.com/books/1298411339m/34.jpg
20,Mockingjay,Suzanne Collins,fiction|fantasy|romance|ebooks|thriller|suspense,2010.0,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,Harry Potter and the Order of the Phoenix,J.K. Rowling,fantasy|fiction|paranormal|mystery|romance,2003.0,https://images.gr-assets.com/books/1387141547m/2.jpg
22,The Lovely Bones,Alice Sebold,fiction|mystery|contemporary|fantasy|crime|thriller|paranormal|suspense|horror|romance|classics|ebooks,2002.0,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,Harry Potter and the Chamber of Secrets,J.K. Rowling,fantasy|fiction|classics|paranormal|mystery|contemporary,1998.0,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,Harry Potter and the Goblet of Fire,J.K. Rowling,fantasy|fiction|classics|paranormal|mystery|contemporary,2000.0,https://images.gr-assets.com/books/1361482611m/6.jpg
25,Harry Potter and the Deathly Hallows,J.K. Rowling,fantasy|fiction|classics|paranormal|mystery|romance|contemporary,2007.0,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,The Da Vinci Code,Dan Brown,fiction|thriller|suspense|contemporary|religion|fantasy|history|art|classics|ebooks|mystery|romance,2003.0,https://images.gr-assets.com/books/1303252999m/968.jpg
27,Harry Potter and the Half-Blood Prince,J.K. Rowling,fantasy|fiction|classics|paranormal|mystery|romance|contemporary,2005.0,https://images.gr-assets.com/books/1361039191m/1.jpg
28,Lord of the Flies ,William Golding,classics|fiction|horror|fantasy|psychology|thriller|philosophy|contemporary,1954.0,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,An Excellent conceited Tragedie of Romeo and Juliet,William Shakespeare,classics|fiction|romance|poetry|ebooks,1595.0,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,Gone Girl,Gillian Flynn,mystery|crime|fiction|contemporary|thriller|suspense|romance,2012.0,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,The Help,Kathryn Stockett,fiction|contemporary|classics|history|ebooks,2009.0,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,Of Mice and Men ,John Steinbeck,classics|fiction,1937.0,https://images.gr-assets.com/books/1437235233m/890.jpg
33,Memoirs of a Geisha,Arthur Golden,fiction|romance|classics|contemporary|history|memoir|biography,1997.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,Fifty Shades of Grey,E.L. James,romance|fiction|contemporary,2011.0,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,O Alquimista,Paulo Coelho,fiction|classics|fantasy|philosophy|spirituality|contemporary|religion|travel|ebooks|romance,1988.0,https://images.gr-assets.com/books/1483412266m/865.jpg
36,The Giver,Lois Lowry,fiction|classics|fantasy|ebooks|philosophy|contemporary,1993.0,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,"The Lion, the Witch and the Wardrobe",C.S. Lewis,fantasy|classics|fiction|christian|religion,1950.0,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,The Time Traveler's Wife,Audrey Niffenegger,fiction|romance|fantasy|contemporary|classics|paranormal|travel,2003.0,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,A Game of Thrones,George R.R. Martin,fiction|fantasy|ebooks|romance|classics|contemporary,1996.0,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,memoir|travel|nonfiction|fiction|biography|spirituality|romance|contemporary|religion|philosophy|ebooks,2006.0,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,The Lightning Thief,Rick Riordan,fantasy|fiction|paranormal|ebooks|mystery|contemporary,2005.0,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,Little Women,Louisa May Alcott,classics|fiction|romance|ebooks|history,1868.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,Jane Eyre,Charlotte Brontë,fiction|ebooks|mystery|romance|history,1847.0,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,The Notebook,Nicholas Sparks,fiction|romance|contemporary|classics|ebooks,1996.0,https://images.gr-assets.com/books/1385738917m/15931.jpg
45,Life of Pi,Yann Martel,fantasy|classics|contemporary|philosophy|fiction|religion|spirituality|ebooks|travel,2001.0,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,Water for Elephants,Sara Gruen,fiction|romance|classics|contemporary|history,2006.0,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,The Book Thief,Markus Zusak,fiction|classics|history|fantasy|contemporary|ebooks,2005.0,https://images.gr-assets.com/books/1390053681m/19063.jpg
48,Fahrenheit 451,Ray Bradbury,classics|fiction|fantasy|ebooks|science|philosophy,1953.0,https://images.gr-assets.com/books/1351643740m/4381.jpg
49,"New Moon (Twilight, #2)",Stephenie Meyer,fantasy|romance|fiction|paranormal|contemporary|horror|ebooks,2006.0,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Shel Silverstein,poetry|classics|fiction|fantasy|nonfiction,1974.0,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,City of Bones,Cassandra Clare,paranormal|romance|fiction|fantasy|ebooks|contemporary|mystery,2007.0,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,Eclipse,Stephenie Meyer,fantasy|romance|fiction|paranormal|contemporary|horror,2007.0,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,Eragon,Christopher Paolini,fantasy|fiction|paranormal|romance|ebooks,2002.0,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,The Hitchhiker's Guide to the Galaxy,Douglas Adams,fiction|fantasy|classics|science|ebooks|contemporary,1979.0,https://images.gr-assets.com/books/1327656754m/11.jpg
55,Brave New World,Aldous Huxley,classics|fiction|fantasy|philosophy|science|ebooks,1932.0,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,Breaking Dawn,Stephenie Meyer,fantasy|contemporary|romance|fiction|paranormal,2008.0,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,The Secret Life of Bees,Sue Monk Kidd,fiction|classics|contemporary|romance,2001.0,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,The Adventures of Huckleberry Finn,Mark Twain,classics|fiction|ebooks|history,1884.0,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,Charlotte's Web,E.B. White,classics|fiction|fantasy,1952.0,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,fiction|classics|mystery|ebooks|psychology|suspense|crime,2003.0,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,The Girl on the Train,Paula Hawkins,mystery|fiction|thriller|crime|suspense|contemporary|ebooks,2015.0,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,Northern Lights,Philip Pullman,fantasy|fiction|classics|religion|mystery|paranormal,1995.0,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,Wuthering Heights,Emily Brontë,classics|fiction|romance|ebooks,1847.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,My Sister's Keeper,Jodi Picoult,fiction|contemporary|romance|ebooks,2004.0,https://images.gr-assets.com/books/1369504683m/10917.jpg
65,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Kurt Vonnegut Jr.,classics|fiction|fantasy|history|contemporary|ebooks|philosophy,1969.0,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,Gone with the Wind,Margaret Mitchell,classics|fiction|romance|history,1936.0,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,A Thousand Splendid Suns,Khaled Hosseini,fiction|contemporary|classics|history|romance|ebooks|religion,2007.0,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,The Perks of Being a Wallflower,Stephen Chbosky,fiction|contemporary|classics|ebooks,1999.0,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,Insurgent,Veronica Roth,fiction|fantasy|romance|ebooks,2012.0,https://images.gr-assets.com/books/1325667729m/11735983.jpg
70,Ender's Game,Orson Scott Card,fiction|fantasy|classics|science|ebooks,1985.0,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,"Frankenstein; or, The Modern Prometheus",Mary Wollstonecraft Shelley,classics|fiction|horror|fantasy|ebooks|paranormal|thriller|mystery|science,1818.0,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,The Shining,Stephen King,fiction|fantasy|mystery|suspense|ebooks|contemporary,1977.0,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,The Host,Stephenie Meyer,fiction|paranormal|fantasy|romance|suspense|contemporary|thriller,2008.0,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,Looking for Alaska,John Green,fiction|contemporary|romance|mystery|ebooks,2005.0,https://images.gr-assets.com/books/1394798630m/99561.jpg
75,,Helen Fielding,fiction|romance|contemporary|ebooks|classics,1996.0,https://images.gr-assets.com/books/1292060045m/227443.jpg
76,Sense and Sensibility,Jane Austen,fiction|ebooks|history,1811.0,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,Holes,Louis Sachar,fiction|mystery|classics|contemporary|fantasy|crime,1998.0,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,The Devil Wears Prada,Lauren Weisberger,fiction|contemporary|romance|ebooks|classics,2003.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,Ὀδύσσεια,Homer,classics|fiction|poetry|fantasy|history|philosophy|ebooks|travel,-720.0,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,Le Petit Prince,Antoine de Saint-Exupéry,fantasy|philosophy|classics|fiction|ebooks,1946.0,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,The Glass Castle,Jeannette Walls,memoir|nonfiction|biography|fiction|contemporary|classics|ebooks|psychology,2005.0,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,Into the Wild,Jon Krakauer,nonfiction|biography|travel|classics|memoir|fiction|history|contemporary|philosophy|ebooks,1996.0,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,A Tale of Two Cities,Charles Dickens,classics|fiction|history|romance|ebooks,1859.0,https://images.gr-assets.com/books/1344922523m/1953.jpg
84,Jurassic Park,Michael Crichton,fiction|thriller|fantasy|horror|classics|suspense|science|contemporary|mystery|ebooks,1990.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
85,The Giving Tree,Shel Silverstein,classics|fiction|poetry|fantasy|philosophy,1964.0,https://images.gr-assets.com/books/1174210942m/370493.jpg
86,A Time to Kill,John Grisham,fiction|mystery|thriller|crime|suspense|contemporary|classics|ebooks,1989.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
87,Un di Velt Hot Geshvign,Elie Wiesel,classics|history|nonfiction|fiction|memoir|biography|religion|horror|contemporary|philosophy,1958.0,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,Paper Towns,John Green,contemporary|fiction|romance|mystery,2008.0,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,The Princess Bride,William Goldman,ebooks|contemporary,1973.0,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,The Outsiders,S.E. Hinton,fiction|classics|contemporary|crime,1967.0,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,The Maze Runner,James Dashner,fiction|fantasy|mystery|ebooks|thriller|suspense|romance,2009.0,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,nonfiction|science|psychology|business|philosophy|history|ebooks|contemporary|fiction,2005.0,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,The Secret Garden,Frances Hodgson Burnett,classics|fiction|fantasy|ebooks|mystery,1911.0,https://images.gr-assets.com/books/1327873635m/2998.jpg
94,Cien años de soledad,Gabriel García Márquez,classics|fiction|contemporary|romance,1967.0,https://images.gr-assets.com/books/1327881361m/320.jpg
95,The Picture of Dorian Gray,Oscar Wilde,classics|fiction|horror|fantasy|ebooks|mystery|philosophy|paranormal,1891.0,https://images.gr-assets.com/books/1424596966m/5297.jpg
96,Fifty Shades Freed,E.L. James,fiction|contemporary|romance|ebooks|fantasy,2012.0,https://images.gr-assets.com/books/1336418837m/13536860.jpg
97,Dracula,Bram Stoker,classics|horror|fiction|fantasy|paranormal|ebooks|thriller|mystery|romance|suspense,1897.0,https://images.gr-assets.com/books/1387151694m/17245.jpg
98,Flickan som lekte med elden,Stieg Larsson,fiction|mystery|crime|suspense|thriller|contemporary|ebooks,2006.0,https://images.gr-assets.com/books/1351778881m/5060378.jpg
99,Fifty Shades Darker,E.L. James,romance|fiction|contemporary,2011.0,https://images.gr-assets.com/books/1358266080m/11857408.jpg
100,The Poisonwood Bible,Barbara Kingsolver,fiction|classics|religion|contemporary|history|travel|ebooks,1998.0,https://images.gr-assets.com/books/1412242487m/7244.jpg
101,Me Talk Pretty One Day,David Sedaris,memoir|nonfiction|fiction|biography|contemporary|ebooks,2000.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102,Where the Wild Things Are,Maurice Sendak,fiction|classics|fantasy|art,1963.0,https://images.gr-assets.com/books/1384434560m/19543.jpg
103,Le Comte de Monte-Cristo,Alexandre Dumas,classics|fiction|romance|ebooks|history|mystery|thriller|crime|fantasy,1844.0,https://images.gr-assets.com/books/1309203605m/7126.jpg
104,The Road,Cormac McCarthy,fiction|horror|classics|contemporary|fantasy|thriller|ebooks|suspense,2006.0,https://images.gr-assets.com/books/1439197219m/6288.jpg
105,Allegiant,Veronica Roth,fiction|fantasy|romance|ebooks,2013.0,https://images.gr-assets.com/books/1395582745m/18710190.jpg
106,Bossypants,Tina Fey,memoir|nonfiction|biography|contemporary|ebooks|fiction,2011.0,https://images.gr-assets.com/books/1481509554m/9418327.jpg
107,A Walk to Remember,Nicholas Sparks,romance|fiction|classics|ebooks|contemporary,1999.0,https://images.gr-assets.com/books/1385738968m/3473.jpg
108,Confessions of a Shopaholic,Sophie Kinsella,fiction|romance|contemporary,2000.0,https://images.gr-assets.com/books/1327872404m/9416.jpg
109,,,classics|fiction|romance|history|ebooks,,
110,A Clash of Kings,George R.R. Martin,fantasy|fiction|ebooks,1998.0,https://images.gr-assets.com/books/1358254974m/10572.jpg
111,The Memory Keeper's Daughter,Kim Edwards,fiction|contemporary|mystery|classics|ebooks|romance,2005.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
112,Me Before You,Jojo Moyes,romance|fiction|ebooks|contemporary,2012.0,https://images.gr-assets.com/books/1357108762m/15507958.jpg
113,Catch-22,Joseph Heller,classics|fiction|history|contemporary|ebooks,1961.0,https://images.gr-assets.com/books/1463157317m/168668.jpg
114,Tuesdays with Morrie,Mitch Albom,fiction|nonfiction|memoir|biography|classics|philosophy|contemporary|spirituality|psychology|religion|ebooks,1997.0,https://images.gr-assets.com/books/1423763749m/6900.jpg
115,Middlesex,Jeffrey Eugenides,fiction|contemporary|classics|history,2002.0,https://images.gr-assets.com/books/1437029776m/2187.jpg
116,The Adventures of Tom Sawyer,Mark Twain,classics|fiction|ebooks|history,1876.0,https://images.gr-assets.com/books/1404811979m/24583.jpg
117,A Wrinkle in Time,Madeleine L'Engle,fantasy|fiction|classics|science,1962.0,https://images.gr-assets.com/books/1329061522m/18131.jpg
118,The Joy Luck Club,Amy Tan,classics|fiction|contemporary|history|ebooks|romance|memoir,1989.0,https://images.gr-assets.com/books/1304978653m/7763.jpg
119,The Handmaid's Tale,Margaret Atwood,fiction|classics|fantasy|contemporary|religion|ebooks|horror,1985.0,https://images.gr-assets.com/books/1498057733m/38447.jpg
120,The Sisterhood of the Traveling Pants,Ann Brashares,fiction|contemporary|romance|travel,2001.0,https://images.gr-assets.com/books/1461611233m/452306.jpg
121,Lolita,Vladimir Nabokov,fiction|classics|contemporary|psychology|ebooks|romance,1955.0,https://images.gr-assets.com/books/1377756377m/7604.jpg
122,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,fantasy|classics|contemporary|romance|fiction|paranormal,1995.0,https://images.gr-assets.com/books/1437733293m/37442.jpg
123,The Firm,John Grisham,fiction|thriller|mystery|suspense|crime|contemporary|ebooks,1991.0,https://images.gr-assets.com/books/1418465200m/5358.jpg
124,Room,Emma Donoghue,fiction|contemporary|crime|thriller|mystery|ebooks|suspense|psychology|horror,2010.0,https://images.gr-assets.com/books/1344265419m/7937843.jpg
125,"The Tragicall Historie of Hamlet, Prince of Denmark",William Shakespeare,classics|fiction|poetry|ebooks|romance|fantasy,1600.0,https://images.gr-assets.com/books/1351051208m/1420.jpg
126,Dune,Frank Herbert,fiction|fantasy|classics|science|religion|ebooks|philosophy,1965.0,https://images.gr-assets.com/books/1434908555m/234225.jpg
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,nonfiction|business|psychology|science|philosophy|history|ebooks|fiction,2000.0,https://images.gr-assets.com/books/1473396980m/2612.jpg
128,Steve Jobs,Walter Isaacson,biography|business|nonfiction|history|memoir|ebooks|science,2011.0,https://images.gr-assets.com/books/1327861368m/11084145.jpg
129,One Flew Over the Cuckoo's Nest,Ken Kesey,classics|fiction|psychology|contemporary|ebooks,1962.0,https://images.gr-assets.com/books/1485308778m/332613.jpg
129,One Flew Over the Cuckoo's Nest (script),Dale Wasserman,classics|fiction|psychology|contemporary|ebooks,1970.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
130,The Old Man and the Sea,Ernest Hemingway,classics|fiction|ebooks,1952.0,https://images.gr-assets.com/books/1329189714m/2165.jpg
131,The Grapes of Wrath,John Steinbeck,classics|fiction|history,1939.0,https://images.gr-assets.com/books/1352912927m/4395.jpg
132,The Five People You Meet in Heaven,Mitch Albom,fiction|christian|contemporary|nonfiction|ebooks|romance|spirituality|classics|psychology,2003.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,Anne of Green Gables,L.M. Montgomery,fiction|romance|ebooks,1908.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
134,City of Glass,Cassandra Clare,fantasy|paranormal|fiction|ebooks|contemporary,2009.0,https://images.gr-assets.com/books/1369452339m/3777732.jpg
135,A Storm of Swords,George R.R. Martin,fantasy|fiction|ebooks|contemporary|romance,2000.0,https://images.gr-assets.com/books/1497931121m/62291.jpg
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,fiction|contemporary|romance|classics,1996.0,https://images.gr-assets.com/books/1408313524m/137791.jpg
137,Outlander,Diana Gabaldon,romance|fantasy|fiction|history|paranormal|ebooks,1991.0,https://images.gr-assets.com/books/1402600310m/10964.jpg
138,The Scarlet Letter,Nathaniel Hawthorne,romance|history|religion,1850.0,https://images.gr-assets.com/books/1404810944m/12296.jpg
139,,,fantasy|fiction|paranormal|mystery|horror|ebooks|romance|thriller|contemporary|suspense,,
140,Luftslottet som sprängdes,Stieg Larsson,fiction|mystery|thriller|crime|suspense|contemporary|ebooks,2007.0,https://images.gr-assets.com/books/1327708260m/6892870.jpg
141,The Martian,Andy Weir,science|thriller|contemporary|fantasy|ebooks,2012.0,https://images.gr-assets.com/books/1413706054m/18007564.jpg
142,The Pillars of the Earth,Ken Follett,fiction|history|fantasy|classics|romance|religion|contemporary|ebooks|thriller|mystery|suspense,1989.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
143,,Anthony Doerr,fiction|history|contemporary|ebooks,2014.0,https://images.gr-assets.com/books/1451445646m/18143977.jpg
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,history|biography|nonfiction|memoir|fiction|sports|ebooks|christian,2010.0,https://images.gr-assets.com/books/1327861115m/8664353.jpg
145,Deception Point,Dan Brown,fiction|thriller|mystery|suspense|crime|contemporary|ebooks|fantasy|science|romance,2001.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,The Goldfinch,Donna Tartt,fiction|contemporary|art|mystery|ebooks|crime,2013.0,https://images.gr-assets.com/books/1451554970m/17333223.jpg
147,Thirteen Reasons Why,Jay Asher,romance|contemporary|fiction|ebooks|suspense|psychology|thriller,2007.0,https://images.gr-assets.com/books/1333822506m/1217100.jpg
148,Girl with a Pearl Earring,Tracy Chevalier,fiction|art|classics|romance|history|contemporary,1999.0,https://images.gr-assets.com/books/1327197580m/2865.jpg
149,If I Stay,Gayle Forman,romance|contemporary|fiction|music|paranormal|fantasy|ebooks,2009.0,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,The Red Tent,Anita Diamant,history|fiction|christian|contemporary|religion|fantasy,1997.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
151,The Sea of Monsters,Rick Riordan,fantasy|fiction|paranormal|ebooks|contemporary|romance,2006.0,https://images.gr-assets.com/books/1400602661m/28186.jpg
152,Dear John,Nicholas Sparks,romance|fiction|contemporary|ebooks,2006.0,https://images.gr-assets.com/books/1397749854m/5526.jpg
153,City of Ashes,Cassandra Clare,fantasy|paranormal|romance|fiction|ebooks|contemporary,2008.0,https://images.gr-assets.com/books/1432730356m/1582996.jpg
154,The Tragedy of Macbeth,William Shakespeare,fiction|poetry|fantasy|history|horror|ebooks|paranormal,1606.0,https://images.gr-assets.com/books/1459795224m/8852.jpg
155,The Two Towers,J.R.R. Tolkien,fantasy|classics|fiction|ebooks,1954.0,https://images.gr-assets.com/books/1298415523m/15241.jpg
156,Something Borrowed,Emily Giffin,romance|fiction|contemporary|ebooks,2004.0,https://images.gr-assets.com/books/1305063535m/42156.jpg
157,Green Eggs and Ham,Dr. Seuss,classics|fiction|poetry|fantasy,1960.0,https://images.gr-assets.com/books/1468680100m/23772.jpg
158,Charlie and the Chocolate Factory,Roald Dahl,fiction|classics|ebooks,1964.0,https://images.gr-assets.com/books/1309211401m/6310.jpg
159,The Battle of the Labyrinth,Rick Riordan,fantasy|fiction|paranormal|romance|ebooks|contemporary|mystery,2008.0,https://images.gr-assets.com/books/1443142158m/2120932.jpg
160,Great Expectations,Charles Dickens,classics|fiction|romance|ebooks,1860.0,https://images.gr-assets.com/books/1327920219m/2623.jpg
161,The Return of the King,J.R.R. Tolkien,fantasy|fiction|classics|ebooks,1955.0,https://images.gr-assets.com/books/1389977161m/18512.jpg
162,L’Étranger,Albert Camus,classics|fiction|philosophy|crime|contemporary|psychology|ebooks,1942.0,https://images.gr-assets.com/books/1349927872m/49552.jpg
162,The Stranger,Harlan Coben,classics|fiction|philosophy|crime|contemporary|psychology|ebooks,2015.0,https://images.gr-assets.com/books/1408564426m/22571540.jpg
163,The Lost Hero,Rick Riordan,fantasy|fiction|mystery|romance,2010.0,https://images.gr-assets.com/books/1464201003m/7736182.jpg
164,Eleanor & Park,Rainbow Rowell,romance|contemporary|fiction|ebooks|music,2013.0,https://images.gr-assets.com/books/1341952742m/15745753.jpg
165,A Feast for Crows,George R.R. Martin,fantasy|fiction|contemporary,2005.0,https://images.gr-assets.com/books/1429538615m/13497.jpg
166,Matched,Ally Condie,romance|fiction|fantasy|ebooks,2010.0,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,American Gods,Neil Gaiman,fantasy|fiction|contemporary|horror|paranormal|mystery|religion|ebooks|classics|thriller,2001.0,https://images.gr-assets.com/books/1258417001m/4407.jpg
168,The Stand,Stephen King,horror|fiction|fantasy|thriller|classics|suspense|mystery|paranormal|ebooks|contemporary,1978.0,https://images.gr-assets.com/books/1213131305m/149267.jpg
169,The Last Song,Nicholas Sparks,romance|fiction|contemporary|ebooks|music,2008.0,https://images.gr-assets.com/books/1286549186m/6400090.jpg
170,Digital Fortress,Dan Brown,fiction|thriller|mystery|suspense|crime|contemporary|ebooks|fantasy|romance|science,1998.0,https://images.gr-assets.com/books/1360095966m/11125.jpg
171,Emma,Jane Austen,classics|fiction|romance|ebooks|history,1815.0,https://images.gr-assets.com/books/1373627931m/6969.jpg
172,Анна Каренина,Leo Tolstoy,classics|fiction|romance|ebooks|history,1877.0,https://images.gr-assets.com/books/1352422904m/15823480.jpg
173,A Clockwork Orange,Anthony Burgess,classics|fiction|horror|fantasy|psychology|thriller|ebooks|mystery|philosophy,1962.0,https://images.gr-assets.com/books/1348339306m/227463.jpg
174,The Shack: Where Tragedy Confronts Eternity,William Paul Young,fiction|christian|religion|spirituality|fantasy|contemporary|mystery|philosophy|suspense|ebooks,2007.0,https://images.gr-assets.com/books/1344270232m/1812457.jpg
